"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV638"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV639"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Fusarium"	"s__neocosmosporiellum"
"ASV640"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	NA	NA	NA
"ASV641"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	NA	NA	NA
"ASV642"	"k__Fungi"	"p__Glomeromycota"	"c__Paraglomeromycetes"	"o__Paraglomerales"	"f__Paraglomeraceae"	"g__Paraglomus"	"s__laccatum"
"ASV643"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Hypocreales_fam_Incertae_sedis"	"g__Hypocreales_gen_Incertae_sedis"	NA
"ASV644"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Microascales"	"f__Halosphaeriaceae"	"g__Cirrenalia"	NA
"ASV645"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Rhinocladiella"	NA
"ASV646"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Talaromyces"	"s__dendriticus"
"ASV647"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Microascales"	"f__Halosphaeriaceae"	"g__Qarounispora"	"s__grandiappendiculata"
"ASV648"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Acrocalymmaceae"	"g__Acrocalymma"	"s__pterocarpi"
"ASV649"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV650"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV651"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Dominikia"	NA
"ASV652"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	"s__compressum"
"ASV653"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV654"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Cladophialophora"	"s__chaetospira"
"ASV655"	"k__Fungi"	"p__Glomeromycota"	"c__Paraglomeromycetes"	"o__Paraglomerales"	"f__Paraglomeraceae"	"g__Paraglomus"	"s__laccatum"
"ASV656"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Xylariales"	"f__Microdochiaceae"	"g__Idriella"	NA
"ASV657"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV658"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Tricladiaceae"	"g__Halenospora"	NA
"ASV659"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Geastrales"	"f__Geastraceae"	"g__Geastrum"	"s__rufescens"
"ASV660"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Penicillium"	NA
"ASV661"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV662"	"k__Fungi"	"p__Fungi_phy_Incertae_sedis"	"c__Fungi_cls_Incertae_sedis"	"o__Fungi_ord_Incertae_sedis"	"f__Fungi_fam_Incertae_sedis"	"g__Fungi_gen_Incertae_sedis"	NA
"ASV663"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Entrophosporales"	"f__Entrophosporaceae"	"g__Entrophospora"	NA
"ASV664"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Branch06"	"f__Branch06_fam_Incertae_sedis"	"g__Branch06_gen_Incertae_sedis"	NA
"ASV665"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Chaetosphaeriales"	"f__Chaetosphaeriaceae"	"g__Chloridium"	NA
"ASV666"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	NA	NA	NA	NA
"ASV667"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Myrmecridiales"	"f__Myrmecridiales_fam_Incertae_sedis"	"g__Atractospora"	NA
"ASV668"	"k__Fungi"	"p__Glomeromycota"	"c__Paraglomeromycetes"	"o__Paraglomerales"	"f__Paraglomeraceae"	"g__Paraglomus"	"s__laccatum"
"ASV669"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Dominikia"	NA
"ASV670"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Cladophialophora"	"s__chaetospira"
"ASV671"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	NA	NA	NA
"ASV672"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Phaeosphaeriaceae"	"g__Phaeosphaeria"	"s__fuckelii"
"ASV673"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV674"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Penicillium"	NA
"ASV675"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Dermateaceae"	"g__Davidhawksworthia"	"s__ilicicola"
"ASV676"	"k__Fungi"	"p__Basidiomycota"	"c__Tremellomycetes"	"o__Filobasidiales"	"f__Filobasidiaceae"	"g__Goffeauzyma"	"s__gastrica"
"ASV677"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV678"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Tricholomataceae"	"g__Delicatula"	"s__integrella"
"ASV679"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Clavicipitaceae"	"g__Pochonia"	NA
"ASV680"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	NA	NA
"ASV681"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	"s__compressum"
"ASV682"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Xylariales"	"f__Xylariaceae"	"g__Calceomyces"	NA
"ASV683"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	NA
"ASV684"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Entrophosporales"	"f__Entrophosporaceae"	"g__Entrophospora"	NA
"ASV685"	"k__Fungi"	"p__Basidiomycota"	"c__Cystobasidiomycetes"	"o__Cystobasidiales"	"f__Cystobasidiaceae"	"g__Cystobasidium"	"s__lysinophilum"
"ASV686"	"k__Fungi"	"p__Basidiomycota"	"c__Cystobasidiomycetes"	"o__Cystobasidiomycetes_ord_Incertae_sedis"	"f__Symmetrosporaceae"	"g__Symmetrospora"	"s__symmetrica"
"ASV687"	"k__Fungi"	"p__Fungi_phy_Incertae_sedis"	"c__Fungi_cls_Incertae_sedis"	"o__Fungi_ord_Incertae_sedis"	"f__Fungi_fam_Incertae_sedis"	"g__Fungi_gen_Incertae_sedis"	NA
"ASV688"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Entrophosporales"	"f__Entrophosporaceae"	"g__Entrophospora"	NA
"ASV689"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizoglomus"	NA
"ASV690"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	NA	NA	NA
"ASV691"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Branch06"	"f__Branch06_fam_Incertae_sedis"	"g__Branch06_gen_Incertae_sedis"	NA
"ASV692"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV693"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Lasiosphaeriaceae"	"g__Apodus"	"s__deciduus"
"ASV694"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Claroideoglomeraceae"	"g__Claroideoglomus"	NA
"ASV695"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV696"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Lophiostomataceae"	"g__Lophiostoma"	NA
"ASV697"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Amorosiaceae"	"g__Amorocoelophoma"	"s__cassiae"
"ASV698"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Septoglomus"	NA
"ASV699"	"k__Fungi"	"p__Basidiomycota"	"c__Tremellomycetes"	"o__Filobasidiales"	"f__Filobasidiaceae"	"g__Filobasidium"	"s__magnum"
"ASV700"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Penicillium"	"s__estinogenum"
"ASV701"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Gigasporales"	"f__Gigasporaceae"	"g__Gigaspora"	"s__margarita"
"ASV702"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	NA
"ASV703"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	NA	NA	NA	NA
"ASV704"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Chaetomiaceae"	"g__Chaetomium"	NA
"ASV705"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Glomerellales"	"f__Glomerellaceae"	"g__Colletotrichum"	NA
"ASV706"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV707"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Coniochaetales"	"f__Coniochaetaceae"	NA	NA
"ASV708"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Hypocreaceae"	"g__Trichoderma"	NA
"ASV709"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	NA	NA	NA
"ASV710"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV711"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Fusarium"	"s__equiseti"
"ASV712"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV713"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Claroideoglomeraceae"	"g__Claroideoglomus"	"s__claroideum"
"ASV714"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	NA	NA
"ASV715"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	"s__compressum"
"ASV716"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Clavicipitaceae"	"g__Marquandomyces"	"s__marquandii"
"ASV717"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Sporormiaceae"	"g__Preussia"	"s__flanaganii"
"ASV718"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Didymosphaeriaceae"	"g__Pseudopithomyces"	NA
"ASV719"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Claroideoglomeraceae"	"g__Claroideoglomus"	NA
"ASV720"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Paracladophialophoraceae"	"g__Paracladophialophora"	NA
"ASV721"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	NA
"ASV722"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Claroideoglomeraceae"	"g__Claroideoglomus"	NA
"ASV723"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Claroideoglomeraceae"	"g__Claroideoglomus"	"s__claroideum"
"ASV724"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV725"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__intraradices"
"ASV726"	"k__Fungi"	"p__Fungi_phy_Incertae_sedis"	"c__Fungi_cls_Incertae_sedis"	"o__Fungi_ord_Incertae_sedis"	"f__Fungi_fam_Incertae_sedis"	"g__Fungi_gen_Incertae_sedis"	NA
"ASV727"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Bionectriaceae"	"g__Clonostachys"	NA
"ASV728"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	NA
"ASV729"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Penicillium"	"s__atrosanguineum"
"ASV730"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV731"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Cucurbitariaceae"	"g__Pyrenochaeta"	NA
"ASV732"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Myxotrichaceae"	"g__Oidiodendron"	"s__truncatum"
"ASV733"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Myrmecridiales"	"f__Myrmecridiales_fam_Incertae_sedis"	"g__Atractospora"	NA
"ASV734"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Pleosporaceae"	"g__Alternaria"	"s__prunicola"
"ASV735"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Xylariales"	"f__Nothodactylariaceae"	"g__Nothodactylaria"	NA
"ASV736"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Fusicolla"	"s__aquaeductuum"
"ASV737"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Pseudocosmospora"	NA
"ASV738"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV739"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	NA	NA	NA
"ASV740"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV741"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Didymellaceae"	"g__Didymella"	"s__camporesii"
"ASV742"	"k__Fungi"	"p__Glomeromycota"	"c__Paraglomeromycetes"	"o__Paraglomerales"	"f__Paraglomeraceae"	"g__Paraglomus"	"s__laccatum"
"ASV743"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Microascales"	"f__Halosphaeriaceae"	"g__Halosarpheia"	NA
"ASV744"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__intraradices"
"ASV745"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	"s__compressum"
"ASV746"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	NA
"ASV747"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Didymellaceae"	NA	NA
"ASV748"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Fusarium"	"s__neocosmosporiellum"
"ASV749"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV750"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Thelebolales"	"f__Pseudeurotiaceae"	"g__Pseudogymnoascus"	"s__roseus"
"ASV751"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Venturiales"	"f__Sympoventuriaceae"	"g__Sympoventuriaceae_gen_Incertae_sedis"	NA
"ASV752"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Trichomeriaceae"	"g__Knufia"	NA
"ASV753"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV754"	"k__Fungi"	"p__Olpidiomycota"	"c__Olpidiomycetes"	"o__Olpidiales"	"f__Olpidiaceae"	"g__Olpidiaster"	"s__brassicae"
"ASV755"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Glomerellales"	"f__Plectosphaerellaceae"	"g__Plectosphaerella"	"s__niemeijerarum"
"ASV756"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Mycosphaerellales"	NA	NA	NA
"ASV757"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Tricholomataceae"	"g__Hemimycena"	NA
"ASV758"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV759"	"k__Fungi"	"p__Basidiomycota"	"c__Tremellomycetes"	"o__Tremellales"	"f__Bulleribasidiaceae"	"g__Vishniacozyma"	"s__carnescens"
"ASV760"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Xylariales"	"f__Microdochiaceae"	"g__Idriella"	NA
"ASV761"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Thelebolales"	"f__Pseudeurotiaceae"	"g__Pseudogymnoascus"	"s__appendiculatus"
"ASV762"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Tricladiaceae"	"g__Halenospora"	NA
"ASV763"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Ophiocordycipitaceae"	"g__Hirsutella"	NA
"ASV764"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV765"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Leotiaceae"	"g__Alatospora"	NA
"ASV766"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Branch06"	"f__Branch06_fam_Incertae_sedis"	"g__Branch06_gen_Incertae_sedis"	NA
"ASV767"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV768"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV769"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Claroideoglomeraceae"	"g__Claroideoglomus"	NA
"ASV770"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Dominikia"	NA
"ASV771"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Mycosphaerellales"	"f__Teratosphaeriaceae"	"g__Devriesia"	NA
"ASV772"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Venturiales"	"f__Sympoventuriaceae"	"g__Sympoventuriaceae_gen_Incertae_sedis"	NA
"ASV773"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Herpotrichiellaceae_gen_Incertae_sedis"	NA
"ASV774"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Lasiosphaeriaceae"	"g__Schizothecium"	NA
"ASV775"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Coniochaetales"	"f__Coniochaetaceae"	"g__Coniochaeta"	"s__verticillata"
"ASV776"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV777"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Entrophosporales"	"f__Entrophosporaceae"	"g__Entrophospora"	NA
"ASV778"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Microdominikia"	NA
"ASV779"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Dominikia"	NA
"ASV780"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Tricladiaceae"	"g__Tricladium"	"s__terrestre"
"ASV781"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Microdominikia"	"s__litorea"
"ASV782"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Thelonectria"	"s__blackeriella"
"ASV783"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Leptosphaeriaceae"	"g__Plenodomus"	NA
"ASV784"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Lophiostomataceae"	"g__Lophiostoma"	NA
"ASV785"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Minimelanolocus"	NA
"ASV786"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	NA	NA	NA	NA
"ASV787"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Myxotrichaceae"	"g__Oidiodendron"	"s__setiferum"
"ASV788"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Pleosporales_fam_Incertae_sedis"	"g__Pteridiospora"	NA
"ASV789"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Chaetomiaceae"	"g__Humicola"	NA
"ASV790"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Myrmecridiales"	"f__Myrmecridiales_fam_Incertae_sedis"	"g__Atractospora"	NA
"ASV791"	"k__Fungi"	"p__Glomeromycota"	"c__Paraglomeromycetes"	"o__Paraglomerales"	"f__Paraglomeraceae"	"g__Paraglomus"	"s__laccatum"
"ASV792"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Microascales"	"f__Halosphaeriaceae"	"g__Cirrenalia"	NA
"ASV793"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	NA	NA	NA
"ASV794"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV795"	"k__Fungi"	"p__Basidiomycota"	"c__Tremellomycetes"	"o__Tremellales"	"f__Rhynchogastremataceae"	"g__Papiliotrema"	"s__flavescens"
"ASV796"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Cordycipitaceae"	"g__Simplicillium"	"s__aogashimaense"
"ASV797"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Capnodiales"	"f__Capnodiales_fam_Incertae_sedis"	"g__Capnodiales_gen_Incertae_sedis"	NA
"ASV798"	"k__Fungi"	"p__Basidiomycota"	"c__Pucciniomycetes"	"o__Platygloeales"	"f__Platygloeales_fam_Incertae_sedis"	"g__Platygloeales_gen_Incertae_sedis"	NA
"ASV799"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Atractosporales"	"f__Conlariaceae"	"g__Conlarium"	NA
"ASV800"	"k__Fungi"	"p__Chytridiomycota"	"c__Chytridiomycota_cls_Incertae_sedis"	"o__Chytridiomycota_ord_Incertae_sedis"	"f__Chytridiomycota_fam_Incertae_sedis"	"g__Chytridiomycota_gen_Incertae_sedis"	NA
"ASV801"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Branch06"	"f__Branch06_fam_Incertae_sedis"	"g__Branch06_gen_Incertae_sedis"	NA
"ASV802"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Dactylonectria"	"s__macrodidyma"
"ASV803"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__intraradices"
"ASV804"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Podosporaceae"	"g__Podospora"	NA
"ASV805"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Didymellaceae"	"g__Stagonosporopsis"	NA
"ASV806"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV807"	"k__Fungi"	"p__Glomeromycota"	"c__Paraglomeromycetes"	"o__Paraglomerales"	"f__Paraglomeraceae"	"g__Paraglomus"	"s__laccatum"
"ASV808"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV809"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Claroideoglomeraceae"	"g__Claroideoglomus"	"s__claroideum"
"ASV810"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Hyaloscyphaceae"	"g__Cistella"	NA
"ASV811"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV812"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Septoglomus"	"s__viscosum"
